Product ID,Category,Brand,Season,Size,Color, Original Price ,Markdown Percentage, Current Price ,Purchase Date,Stock Quantity,Customer Rating,Is Returned,Return Reason
FB000093,Shoes,Zara,Summer,S,Black, $76.00 ,50%, $38.00 ,06 August 2025,7,1.1,FALSE,No Action
FB000094,Bottoms,H&M,Fall,XS,Beige, $80.00 ,0%, $80.00 ,06 August 2025,26,3.0,FALSE,No Action
FB000095,Bottoms,Zara,Fall,XS,Beige, $32.00 ,52%, $15.00 ,06 August 2025,14,3.9,FALSE,No Action
FB000096,Accessories,Gap,Summer,XS,Black, $54.00 ,0%, $54.00 ,06 August 2025,12,4.5,FALSE,No Action
FB000097,Bottoms,H&M,Winter,M,Pink, $71.00 ,56%, $31.00 ,06 August 2025,12,3.4,FALSE,No Action
FB000098,Bottoms,Ann Taylor,Summer,XXL,Navy, $57.00 ,0%, $57.00 ,06 August 2025,36,3.5,FALSE,No Action
FB000099,Bottoms,Zara,Summer,XS,Green, $33.00 ,3%, $32.00 ,06 August 2025,40,1.3,FALSE,No Action
FB000100,Tops,Gap,Summer,L,Black, $91.00 ,0%, $91.00 ,06 August 2025,39,4.9,FALSE,No Action
FB000101,Bottoms,Zara,Fall,L,White, $60.00 ,20%, $48.00 ,06 August 2025,42,1.0,FALSE,No Action
FB000102,Dresses,Banana Republic,Winter,S,White, $163.00 ,0%, $163.00 ,06 August 2025,34,4.9,FALSE,No Action
FB000103,Dresses,Uniqlo,Spring,S,Beige, $126.00 ,0%, $126.00 ,08 November 2024,25,1.8,FALSE,No Action
FB000104,Bottoms,Uniqlo,Winter,L,Navy, $50.00 ,58%, $20.00 ,06 August 2025,32,4.8,FALSE,No Action
FB000105,Shoes,H&M,Winter,S,Red, $84.00 ,0%, $84.00 ,06 August 2025,10,3.9,FALSE,No Action
FB000106,Bottoms,Banana Republic,Spring,XL,Beige, $100.00 ,0%, $100.00 ,17 June 2025,21,2.8,FALSE,No Action
FB000107,Bottoms,Banana Republic,Summer,M,Beige, $38.00 ,0%, $38.00 ,06 August 2025,44,4.7,FALSE,No Action
FB000108,Bottoms,H&M,Fall,XL,Blue, $63.00 ,0%, $63.00 ,06 August 2025,41,3.0,FALSE,No Action
FB000109,Shoes,H&M,Fall,XS,Navy, $183.00 ,0%, $183.00 ,06 August 2025,23,4.1,FALSE,No Action
FB000110,Dresses,Zara,Winter,S,Gray, $91.00 ,60%, $36.00 ,06 August 2025,5,3.9,FALSE,No Action
FB000111,Outerwear,Uniqlo,Spring,L,Black, $92.00 ,0%, $92.00 ,20 July 2025,9,1.2,FALSE,No Action
FB000112,Accessories,Banana Republic,Winter,L,Brown, $34.00 ,0%, $34.00 ,06 August 2025,4,4.5,FALSE,No Action
FB000113,Dresses,H&M,Fall,S,Purple, $128.00 ,50%, $64.00 ,06 August 2025,28,3.2,FALSE,No Action
FB000114,Tops,Mango,Summer,XXL,Red, $99.00 ,34%, $65.00 ,06 August 2025,27,2.1,FALSE,No Action
FB000115,Bottoms,Forever21,Winter,S,Pink, $87.00 ,26%, $65.00 ,06 August 2025,8,2.3,FALSE,No Action
FB000116,Tops,Zara,Spring,XXL,Brown, $49.00 ,0%, $49.00 ,06 September 2024,37,2.3,FALSE,No Action
FB000117,Accessories,Uniqlo,Fall,XXL,Brown, $72.00 ,0%, $72.00 ,06 August 2025,48,3.0,TRUE,Wrong Item
FB000118,Dresses,Zara,Spring,M,Navy, $133.00 ,0%, $133.00 ,25 November 2024,12,1.7,FALSE,No Action
FB000119,Bottoms,Uniqlo,Winter,S,Black, $62.00 ,0%, $62.00 ,06 August 2025,49,3.0,FALSE,No Action
FB000120,Outerwear,Zara,Spring,L,Red, $248.00 ,0%, $248.00 ,04 July 2025,27,1.5,FALSE,No Action
FB000121,Shoes,Uniqlo,Fall,XXL,Navy, $61.00 ,0%, $61.00 ,06 August 2025,27,3.0,TRUE,Changed Mind
FB000122,Bottoms,Gap,Winter,S,Red, $109.00 ,0%, $109.00 ,06 August 2025,34,3.0,FALSE,No Action
FB000123,Outerwear,Zara,Winter,XXL,Purple, $82.00 ,46%, $44.00 ,06 August 2025,24,3.0,TRUE,Quality Issue
FB000124,Shoes,H&M,Summer,XS,Purple, $113.00 ,11%, $101.00 ,06 August 2025,40,2.8,FALSE,No Action
FB000125,Accessories,Uniqlo,Winter,XS,Brown, $38.00 ,52%, $18.00 ,06 August 2025,28,4.3,FALSE,No Action
FB000126,Dresses,Gap,Spring,XXL,Black, $53.00 ,46%, $28.00 ,14 January 2025,37,3.7,FALSE,No Action
FB000127,Shoes,Ann Taylor,Spring,XXL,Blue, $81.00 ,0%, $81.00 ,06 December 2024,50,1.1,FALSE,No Action
FB000128,Shoes,Ann Taylor,Spring,XXL,White, $125.00 ,22%, $98.00 ,06 September 2024,7,2.9,FALSE,No Action
FB000129,Outerwear,Ann Taylor,Spring,XS,Pink, $98.00 ,0%, $98.00 ,05 March 2025,1,2.6,FALSE,No Action
FB000130,Shoes,Gap,Fall,XS,Blue, $77.00 ,0%, $77.00 ,06 August 2025,36,3.4,FALSE,No Action
FB000131,Dresses,Banana Republic,Spring,XL,Purple, $79.00 ,0%, $79.00 ,16 November 2024,11,3.6,FALSE,No Action
FB000132,Bottoms,Mango,Spring,S,Green, $96.00 ,0%, $96.00 ,12 April 2025,13,4.2,FALSE,No Action
FB000133,Tops,Mango,Spring,XL,White, $116.00 ,0%, $116.00 ,04 November 2024,31,3.0,FALSE,No Action
FB000134,Accessories,Ann Taylor,Winter,XL,Blue, $57.00 ,27%, $42.00 ,06 August 2025,9,1.8,FALSE,No Action
FB000135,Tops,H&M,Spring,S,White, $110.00 ,0%, $110.00 ,13 January 2025,9,1.4,FALSE,No Action
FB000136,Tops,Gap,Spring,L,Black, $112.00 ,0%, $112.00 ,14 October 2024,50,3.6,TRUE,Quality Issue
FB000137,Tops,H&M,Summer,XS,Purple, $89.00 ,0%, $89.00 ,06 August 2025,24,4.3,TRUE,Damaged
FB000138,Outerwear,Forever21,Fall,M,Pink, $127.00 ,0%, $127.00 ,06 August 2025,16,3.0,FALSE,No Action
FB000139,Bottoms,Zara,Winter,XXL,Beige, $54.00 ,59%, $22.00 ,06 August 2025,50,3.5,FALSE,No Action
FB000140,Shoes,Uniqlo,Spring,L,White, $154.00 ,0%, $154.00 ,01 October 2024,31,4.1,TRUE,Size Issue
FB000141,Dresses,Ann Taylor,Spring,XS,Gray, $131.00 ,0%, $131.00 ,03 November 2024,5,3.0,FALSE,No Action
FB000142,Outerwear,Gap,Summer,M,Blue, $133.00 ,0%, $133.00 ,06 August 2025,29,1.3,FALSE,No Action
FB000143,Shoes,Forever21,Winter,XL,Red, $173.00 ,0%, $173.00 ,06 August 2025,21,3.0,FALSE,No Action
FB000144,Tops,H&M,Spring,L,Beige, $102.00 ,0%, $102.00 ,16 July 2025,41,3.9,FALSE,No Action
FB000145,Outerwear,Zara,Spring,L,Beige, $87.00 ,45%, $48.00 ,17 February 2025,34,1.8,FALSE,No Action
FB000146,Tops,Uniqlo,Winter,L,Beige, $91.00 ,16%, $77.00 ,06 August 2025,30,4.2,FALSE,No Action
FB000147,Tops,Zara,Winter,L,White, $107.00 ,25%, $80.00 ,06 August 2025,50,4.4,FALSE,No Action
FB000148,Bottoms,Banana Republic,Spring,XXL,Brown, $67.00 ,57%, $28.00 ,24 July 2025,50,4.6,FALSE,No Action
FB000149,Tops,Ann Taylor,Summer,M,Beige, $68.00 ,46%, $36.00 ,06 August 2025,3,2.5,FALSE,No Action
FB000150,Shoes,Banana Republic,Spring,L,Blue, $94.00 ,0%, $94.00 ,15 September 2024,18,1.7,FALSE,No Action
FB000151,Tops,Ann Taylor,Winter,XL,Gray, $94.00 ,0%, $94.00 ,06 August 2025,46,4.3,FALSE,No Action
FB000152,Shoes,Banana Republic,Winter,M,Navy, $65.00 ,11%, $58.00 ,06 August 2025,15,3.9,FALSE,No Action
FB000153,Dresses,Zara,Winter,XXL,Blue, $155.00 ,29%, $109.00 ,06 August 2025,5,3.6,FALSE,No Action
FB000154,Outerwear,Zara,Winter,L,Brown, $172.00 ,0%, $172.00 ,06 August 2025,1,2.1,FALSE,No Action
FB000155,Dresses,H&M,Summer,M,Blue, $68.00 ,0%, $68.00 ,06 August 2025,28,1.7,TRUE,Quality Issue
FB000156,Tops,Banana Republic,Spring,XL,Blue, $28.00 ,0%, $28.00 ,03 October 2024,21,3.0,FALSE,No Action
FB000157,Outerwear,H&M,Winter,XXL,Black, $110.00 ,28%, $79.00 ,06 August 2025,49,3.3,FALSE,No Action
FB000158,Shoes,Mango,Summer,XXL,Black, $194.00 ,0%, $194.00 ,06 August 2025,17,1.2,TRUE,Changed Mind
FB000159,Shoes,Gap,Fall,XS,Beige, $175.00 ,0%, $175.00 ,06 August 2025,4,2.8,FALSE,No Action
FB000160,Bottoms,Mango,Winter,XXL,Gray, $79.00 ,0%, $79.00 ,06 August 2025,30,4.4,FALSE,No Action
FB000161,Bottoms,H&M,Summer,M,Green, $111.00 ,0%, $111.00 ,06 August 2025,41,4.5,FALSE,No Action
FB000162,Accessories,Gap,Spring,M,Navy, $42.00 ,41%, $25.00 ,12 September 2024,18,2.6,FALSE,No Action
FB000163,Bottoms,Gap,Spring,XXL,Navy, $26.00 ,1%, $25.00 ,20 June 2025,35,5.0,FALSE,No Action
FB000164,Accessories,H&M,Spring,XXL,Green, $23.00 ,0%, $23.00 ,17 September 2024,2,1.4,FALSE,No Action
FB000165,Shoes,Zara,Winter,M,White, $168.00 ,0%, $168.00 ,06 August 2025,47,3.0,TRUE,Damaged
FB000166,Shoes,Gap,Fall,XL,Green, $99.00 ,0%, $99.00 ,06 August 2025,33,3.0,TRUE,Quality Issue
FB000167,Accessories,Mango,Spring,XL,Black, $53.00 ,0%, $53.00 ,19 December 2024,40,2.8,FALSE,No Action
FB000168,Accessories,Ann Taylor,Summer,XL,Gray, $69.00 ,18%, $57.00 ,06 August 2025,34,4.2,TRUE,Color Mismatch
FB000169,Dresses,Forever21,Fall,XXL,Gray, $60.00 ,21%, $47.00 ,06 August 2025,4,3.6,FALSE,No Action
FB000170,Shoes,Banana Republic,Winter,XXL,Red, $113.00 ,0%, $113.00 ,06 August 2025,33,4.9,TRUE,Wrong Item
FB000171,Bottoms,Ann Taylor,Fall,XS,Brown, $54.00 ,2%, $53.00 ,06 August 2025,40,2.5,FALSE,No Action
FB000172,Tops,Zara,Winter,XS,Red, $92.00 ,0%, $92.00 ,06 August 2025,13,2.8,TRUE,Damaged
FB000173,Accessories,Ann Taylor,Winter,XS,White, $54.00 ,0%, $54.00 ,06 August 2025,47,4.6,FALSE,No Action
FB000174,Shoes,Banana Republic,Winter,XL,Red, $104.00 ,0%, $104.00 ,06 August 2025,41,3.4,FALSE,No Action
FB000175,Dresses,Ann Taylor,Spring,M,Gray, $45.00 ,0%, $45.00 ,28 August 2024,37,3.2,TRUE,Quality Issue
FB000176,Tops,Ann Taylor,Summer,XXL,Black, $28.00 ,0%, $28.00 ,06 August 2025,4,4.4,FALSE,No Action
FB000177,Outerwear,Uniqlo,Winter,M,Gray, $204.00 ,0%, $204.00 ,06 August 2025,5,3.3,FALSE,No Action
FB000178,Shoes,Mango,Fall,XXL,Pink, $190.00 ,20%, $152.00 ,06 August 2025,47,3.0,FALSE,No Action
FB000179,Tops,Forever21,Winter,XS,Brown, $33.00 ,39%, $20.00 ,06 August 2025,16,3.7,FALSE,No Action
FB000180,Accessories,Banana Republic,Spring,XS,Blue, $47.00 ,40%, $28.00 ,03 December 2024,18,1.3,FALSE,No Action
FB000181,Outerwear,H&M,Spring,XS,Red, $137.00 ,0%, $137.00 ,26 September 2024,34,3.2,FALSE,No Action
FB000182,Tops,Gap,Fall,M,Navy, $108.00 ,0%, $108.00 ,06 August 2025,7,3.3,FALSE,No Action
FB000183,Tops,Banana Republic,Winter,XL,Green, $106.00 ,0%, $106.00 ,06 August 2025,23,4.0,FALSE,No Action
FB000184,Tops,Mango,Winter,XXL,Pink, $114.00 ,0%, $114.00 ,06 August 2025,48,1.1,FALSE,No Action
FB000185,Dresses,Zara,Fall,L,Blue, $121.00 ,0%, $121.00 ,06 August 2025,9,1.5,FALSE,No Action
FB000186,Bottoms,Zara,Summer,XXL,Black, $74.00 ,4%, $71.00 ,06 August 2025,37,1.7,FALSE,No Action
FB000187,Tops,Gap,Fall,M,Blue, $92.00 ,36%, $59.00 ,06 August 2025,20,3.0,FALSE,No Action
FB000188,Tops,Uniqlo,Summer,XXL,Beige, $34.00 ,0%, $34.00 ,06 August 2025,39,4.5,FALSE,No Action
FB000189,Dresses,Zara,Summer,L,Pink, $173.00 ,0%, $173.00 ,06 August 2025,47,4.2,FALSE,No Action
FB000190,Bottoms,Uniqlo,Spring,XXL,Brown, $66.00 ,0%, $66.00 ,04 October 2024,32,2.1,FALSE,No Action
FB000191,Bottoms,Uniqlo,Fall,XXL,Blue, $72.00 ,7%, $67.00 ,06 August 2025,10,1.8,FALSE,No Action
FB000192,Tops,Ann Taylor,Fall,S,Black, $81.00 ,0%, $81.00 ,06 August 2025,3,1.5,FALSE,No Action
FB000193,Outerwear,Gap,Summer,XXL,Red, $104.00 ,12%, $91.00 ,06 August 2025,42,3.0,FALSE,No Action
FB000194,Dresses,Gap,Winter,XL,Pink, $57.00 ,13%, $50.00 ,06 August 2025,12,4.1,FALSE,No Action
FB000195,Shoes,Banana Republic,Summer,XXL,Gray, $142.00 ,0%, $142.00 ,06 August 2025,25,4.8,TRUE,Quality Issue
FB000196,Dresses,Zara,Fall,XXL,Green, $162.00 ,29%, $114.00 ,06 August 2025,41,4.0,TRUE,Quality Issue
FB000197,Bottoms,Ann Taylor,Spring,XXL,Red, $32.00 ,52%, $15.00 ,23 November 2024,27,3.0,FALSE,No Action
FB000198,Shoes,Uniqlo,Fall,L,Black, $162.00 ,43%, $93.00 ,06 August 2025,22,4.8,FALSE,No Action
FB000199,Tops,Banana Republic,Fall,M,Gray, $77.00 ,58%, $32.00 ,06 August 2025,23,4.0,FALSE,No Action
FB000200,Tops,H&M,Fall,XXL,Blue, $103.00 ,56%, $45.00 ,06 August 2025,4,4.7,FALSE,No Action
FB000201,Bottoms,Zara,Spring,XS,Green, $42.00 ,33%, $28.00 ,23 November 2024,18,3.0,FALSE,No Action
FB000202,Shoes,Zara,Summer,XL,Green, $144.00 ,17%, $120.00 ,06 August 2025,32,2.0,FALSE,No Action
FB000203,Shoes,Banana Republic,Summer,XS,Black, $93.00 ,24%, $70.00 ,06 August 2025,10,3.5,TRUE,Changed Mind
FB000204,Outerwear,H&M,Summer,S,Red, $119.00 ,0%, $119.00 ,06 August 2025,20,1.1,FALSE,No Action
FB000205,Accessories,Forever21,Summer,S,Gray, $42.00 ,51%, $20.00 ,06 August 2025,43,2.3,TRUE,Wrong Item
FB000206,Accessories,Banana Republic,Winter,S,Red, $54.00 ,0%, $54.00 ,06 August 2025,12,2.7,FALSE,No Action
FB000207,Tops,Mango,Spring,M,Green, $66.00 ,36%, $42.00 ,28 September 2024,44,1.9,TRUE,Quality Issue
FB000208,Tops,Ann Taylor,Spring,XL,Beige, $116.00 ,9%, $106.00 ,29 April 2025,33,1.6,FALSE,No Action
FB000209,Tops,Forever21,Fall,XXL,Pink, $111.00 ,0%, $111.00 ,06 August 2025,49,1.6,FALSE,No Action
FB000210,Tops,Banana Republic,Fall,XS,Blue, $59.00 ,0%, $59.00 ,06 August 2025,40,2.1,FALSE,No Action
FB000211,Tops,Ann Taylor,Spring,S,Gray, $25.00 ,17%, $21.00 ,23 May 2025,32,3.0,FALSE,No Action
FB000212,Tops,Zara,Spring,M,Black, $82.00 ,0%, $82.00 ,17 July 2025,46,1.5,FALSE,No Action
